product_id,product_name,aisle_id,department_id
31506,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,37,1
23288,Brioche Bachelor Loaf,93,3
44533,Yogurt Strawberry Pomegranate,120,16
18362,Purifying Daily Detox Scrub,109,11
27366,Stain Release Boost In-Wash Stain Remover Pacs,75,17
432,Dark Chocolate Ice Cream Topping,103,19
3990,Simple,45,19
14183,Very Vanilla Soymilk,91,16
24852,Olli Napoli Salami,96,20
4796,"Zita Cut, No. 118",131,9
31717,Chips Onion Chipotle Garlic,107,19
47766,Restaurant Style Organic Chia & Quinoa Tortilla Chips,107,19
4605,Arugula Salad,123,4
1529,Organic Lemons,24,4
21137,Coarse Grind Garlic Powder & Parsley Blend,104,13
22122,Traditional Water Crackers,78,19
34134,Anti Diarrheal Caplets,70,11
27156,Organic Ranch Veggie Dip,67,20
49235,Nectarines,24,4
26842,Wild Blueberry All Natural Fruit Spread,88,13
3464,Brut Ros̩,134,5
25720,Aromatherapaes Stress Reducing Lavender & Chamomile Spa Bath,132,11
30162,"3 in 1 Soap for Every Man, Cucumber & Lemon",25,11
27085,"Fabric Refresher Meadows & Rain Air Freshener (1 Count, 27 oz)  Air Care",75,17
5994,"Corn Dogs, Mini, Honey Crunchy Flavor",129,1
1313,Artisan Ciabatta,58,1
30597,Extra Spearmint Sugar-Free Gum,46,19
15221,Living Organic Cilantro,16,4
